price,category,type,make,model,year,finish,condition,auction,shipping_cost,accepts_offers,date
8500.00,solid-body,electric-guitars,Ibanez,JEM77 Steve Vai Signature Purple Multi Color,1991,Pmc,Very Good,False,150.00,True,2022-04-12T13:07:44+09:00
1900.00,solid-body,electric-guitars,Ibanez,Ibanez Prestige AZ2202A Electric Guitar,2020,Tri Burst,Mint,False,100.00,True,2022-04-12T13:07:33+09:00
1150.00,solid-body,electric-guitars,Gibson,Les Paul Studio without Fretboard Binding,2019 - Present,Smokehouse Burst,Excellent,False,0.00,True,2022-04-12T13:07:24+09:00
1800.00,solid-body,electric-guitars,EVH,Wolfgang HT,,Stealth Black,Good,False,200.00,True,2022-04-12T13:06:32+09:00
175.00,solid-body,electric-guitars,Squier Fender  Affinity series,Strat,$175,Black,Very Good,False,0.00,True,2022-04-12T13:03:46+09:00
7300.00,solid-body,electric-guitars,Fender,Jazzmaster,1966,Sunburst,Very Good,False,500.00,True,2022-04-12T12:58:40+09:00
5900.00,solid-body,electric-guitars,Gibson,Vintage Rare Kalamazoo 1979 Gibson Les Paul Custom Wine Finish Excellent Condition OHSC,1970's,,Excellent,False,120.00,True,2022-04-12T12:56:33+09:00
450.00,solid-body,electric-guitars,Cort,Effector,,Black,Good,False,169.00,True,2022-04-12T12:56:24+09:00
2150.00,solid-body,electric-guitars,Gibson,Firebird V,2015,Vintage Sunburst,Excellent,False,150.00,True,2022-04-12T12:52:25+09:00
2863.26,solid-body,electric-guitars,Fender,"American Original, ’60s, Jazzmaster, Rosewood Fingerboard",2021,Ocean Turquoise,Excellent,False,38.24,True,2022-04-12T12:46:21+09:00
950.00,solid-body,electric-guitars,Charvel,Pro-Mod DK24 HSS 2PT CM,,White,Excellent,False,45.00,True,2022-04-12T12:42:39+09:00
3400.00,solid-body,electric-guitars,Gibson,"The ""V"" original classic",1981,Brown,Good,False,150.00,True,2022-04-12T12:35:31+09:00
4500.00,solid-body,electric-guitars,Gibson,Flying V Custom,2019 - Present,Ebony,Very Good,False,100.00,True,2022-04-12T12:34:11+09:00
